aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
東北,JR水郡線,山方宿,やまがたじゅく,"
野上原	中舟生	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.24.15.800N36.37.16.900&ZM=8&SZ=672,120",常陸大宮市山方,3193111,"
水郡線
"
東北,JR水郡線,中舟生,なかふにゅう,"
山方宿	下小川	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.23.44.200N36.38.32.800&ZM=8&SZ=672,120",常陸大宮市舟生,3193107,"
水郡線
"
東北,JR水郡線,下小川,しもおがわ,"
中舟生	西金	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.23.25.400N36.39.57.400&ZM=8&SZ=672,120",常陸大宮市盛金,3193102,"
水郡線
"
東北,JR水郡線,下小川,,,,,,
東北,JR水郡線,上小川,かみおがわ,"
西金	袋田	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.22.54.900N36.42.57.800&ZM=8&SZ=672,120",久慈郡大子町頃藤,3193361,"
水郡線
"
東北,JR水郡線,袋田,ふくろだ,"
上小川	常陸大子	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.22.58.500N36.45.5.900&ZM=8&SZ=672,120",久慈郡大子町袋田,3193523,"
水郡線
"
東北,JR水郡線,常陸大子,ひたちだいご,"
袋田	下野宮	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.21.14.400N36.46.3.100&ZM=8&SZ=672,120",久慈郡大子町大子,3193526,"
水郡線
"
東北,JR水郡線,下野宮,しものみや,"
常陸大子	矢祭山	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.22.43.400N36.48.45.600&ZM=8&SZ=672,120",久慈郡大子町下野宮,3193555,"
水郡線
"
東北,JR水郡線,矢祭山,やまつりやま,"
下野宮	東館	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.23.55.200N36.50.48.700&ZM=8&SZ=672,120",東白川郡矢祭町内川,9635322,"
水郡線
"
東北,JR水郡線,東館,ひがしだて,"
矢祭山	南石井	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.25.36.300N36.52.1.600&ZM=8&SZ=672,120",東白川郡矢祭町東舘,9635118,"
水郡線
"
東北,JR水郡線,南石井,みなみいしい,"
東館	磐城石井	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.25.13.100N36.53.29.900&ZM=8&SZ=672,120",東白川郡矢祭町下石井,9635202,"
水郡線
"
東北,JR水郡線,磐城石井,いわきいしい,"
南石井	磐城塙	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.25.7.300N36.54.5.700&ZM=8&SZ=672,120",東白川郡矢祭町中石井,9635201,"
水郡線
"
東北,JR水郡線,磐城塙,いわきはなわ,"
磐城石井	近津	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.24.55.400N36.57.20.100&ZM=8&SZ=672,120",東白川郡塙町塙,9635405,"
水郡線
"
東北,JR水郡線,近津,ちかつ,"
磐城塙	中豊	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.23.49.400N36.59.50.800&ZM=8&SZ=672,120",東白川郡棚倉町寺山,9635671,"
水郡線
"
東北,JR水郡線,中豊,なかとよ,"
近津	磐城棚倉	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.23.47.800N37.1.9.800&ZM=8&SZ=672,120",東白川郡棚倉町流,9635663,"
水郡線
"
東北,JR水郡線,中豊,なかとよ,"
近津	磐城棚倉	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.23.47.800N37.1.9.800&ZM=8&SZ=672,120",,,
東北,JR水郡線,磐城浅川,いわきあさかわ,"
磐城棚倉	里白石	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.25.3.900N37.4.36.300&ZM=8&SZ=672,120",石川郡浅川町浅川,9636204,"
水郡線
"
東北,JR水郡線,里白石,さとしらいし,"
磐城浅川	磐城石川	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.25.12.200N37.6.4.900&ZM=8&SZ=672,120",石川郡浅川町里白石,9636202,"
水郡線
"
